id,type,grdp,regpop,deaths,drink,hdrink,smoke,aged,divorce,medrate,gcomp,vehipc,accpv,dumppc,deathrate,pctmale,accpc
67,3,10431012.3333333,175381.666666667,664.666666666667,63.8333333333333,18.8666666666667,22.9,7.65,2.26666666666667,11.6133333333333,112.446666666667,0.36,6.83333333333333,1.28333333333333,379.733333333333,52.9291626882928,2.44906666666667
68,3,14747002.6666667,191693.666666667,634.333333333333,63.6,17.5,20.4333333333333,6.38,2.06666666666667,6.04,107.146666666667,0.48,6.98666666666667,1.28666666666667,334.7,51.7250000702071,3.34896666666667
69,2,16681163.3333333,217692,1171.66666666667,59.8,18.3333333333333,22.1666666666667,11.43,2.23333333333333,15.0466666666667,106.076666666667,0.506666666666667,8.06333333333333,1.32,544.966666666667,51.4743676123339,4.07283333333333
70,1,28603566.6666667,1184297.66666667,4382.33333333333,64.5,16.9666666666667,21.3333333333333,8.39333333333333,2.06666666666667,8.96,101.43,0.383333333333333,9.72666666666667,0.95,375.1,50.3549607164084,3.7268
71,1,26478980,973537.333333333,4068,63.0333333333333,16.4666666666667,21.8,10.89,2.06666666666667,9.53,98.7933333333333,0.33,10.04,0.853333333333333,421.966666666667,49.6963882880584,3.31193333333333
72,1,7080080,434502,2037.33333333333,61.8,19.6666666666667,24.4,12.2366666666667,2.63333333333333,12.1766666666667,97.5733333333333,0.32,10.02,0.873333333333333,476.8,49.3858716309581,3.20433333333333
73,1,16325859.3333333,598670.666666667,2276.33333333333,64.1666666666667,19.1333333333333,21.3,9.95666666666667,1.76666666666667,7.96,99.03,0.34,8.25333333333333,0.793333333333333,382.5,49.7562859289042,2.80263333333333
74,1,16361588.3333333,851984.333333333,3534.33333333333,62.2666666666667,17.6,21.9,9.67,2.23333333333333,14.0466666666667,99.95,0.333333333333333,9.12333333333333,0.673333333333333,417.866666666667,49.9874462640756,3.03606666666667
75,1,6412509.33333333,344340.666666667,1383,64,18.1,21.0333333333333,10.27,1.9,6.11666666666667,98.34,0.306666666666667,8.51,0.72,402.9,49.5815120658026,2.61163333333333
76,1,22744511.3333333,460306.333333333,2218.66666666667,62.4,20.7,24.7666666666667,11.1666666666667,2.66666666666667,9,103.993333333333,0.47,10.82,0.953333333333333,493.566666666667,50.9787389537997,5.09413333333333
77,1,1593809.66666667,97948.6666666667,676.333333333333,61.0333333333333,23.4,27.9333333333333,15.9233333333333,3.36666666666667,25.3033333333333,99.5033333333333,0.366666666666667,10.8666666666667,0.76,705.8,49.8753851417881,3.97053333333333
78,1,23812120,698540,2669.33333333333,62.6333333333333,20.5333333333333,24.6666666666667,7.95,2.96666666666667,13.5933333333333,105.096666666667,0.406666666666667,11.4266666666667,0.82,383.4,51.2425006497574,4.6498
79,1,17839199.6666667,1024461.33333333,4326.66666666667,62.9,17.3666666666667,22.0333333333333,10.6766666666667,2.03333333333333,12.5166666666667,96.8333333333333,0.36,9.05333333333333,0.87,429.2,49.1955582866472,3.25363333333333
80,1,2893059.66666667,67626.6666666667,265.666666666667,60.6333333333333,12.9,14.0333333333333,11.5466666666667,1.23333333333333,0.266666666666667,94.6333333333333,0.34,9.08,1.17333333333333,390.733333333333,48.6213291121412,3.08916666666667
81,1,3709101.33333333,189101.333333333,746.333333333333,60.3,16.9333333333333,21.4666666666667,10.31,2.2,12.79,99.34,0.33,9.14666666666667,1.1,400.566666666667,49.8343752920625,3.01123333333333
