DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2012-06-29	10755	11360	10680	11360	4.12	-0.162938303	3987957	-5410129	1408379
2012-07-02	11500	11510	11325	11325	-0.31	-0.24030415	1012781	-744446	-405159
2012-07-03	11395	11580	11390	11525	1.77	-0.120808324	4763794	-5538863	954798
2012-07-04	11620	11710	11570	11610	0.74	-0.1901631	3382916	-3008957	-256492
2012-07-05	11550	11640	11480	11580	-0.26	-0.336343325	-28717	59682	34784
2012-07-06	11620	11640	11255	11330	-2.16	-0.279621925	-428355	308782	111328
2012-07-09	11100	11175	11025	11055	-2.43	-0.164541118	-2444885	2405682	-26073
2012-07-10	11100	11190	10910	10980	-0.68	-0.262514874	-2220829	3672483	-1587790
2012-07-11	10915	10965	10805	10925	-0.5	-0.104421739	-2629303	2510149	-78624
2012-07-12	10960	10970	10530	10540	-3.52	0.455863754	-11651255	12524732	-1063434
2012-07-13	10580	10850	10355	10770	2.18	0.101867825	-2161112	1031879	516580
2012-07-16	10850	10880	10670	10810	0.37	-0.330449278	265371	-1077777	923223
2012-07-17	10705	11090	10615	10895	0.79	-0.186068925	3238187	-4508310	1555450
2012-07-18	10945	10980	10480	10555	-3.12	-0.373587249	-5742768	6824601	-1255661
2012-07-19	10805	11035	10805	10930	3.55	-0.161313011	9021941	-9496723	575958
2012-07-20	10965	11000	10850	10900	-0.27	-0.37928986	34969	-356533	380875
2012-07-23	10600	10620	10355	10485	-3.81	-0.114889312	-12396287	13137794	-973083
2012-07-24	10415	10575	10410	10560	0.72	-0.07948223	3195286	-3510183	277996
2012-07-25	10230	10490	10100	10295	-2.51	-0.338240106	-3566192	3123732	-54325
2012-07-26	10340	10490	10235	10435	1.36	-0.328481411	-69336	-1578017	1588846
2012-07-27	10845	11050	10755	11050	5.89	-0.152978288	13096611	-13478936	774670
2012-07-30	11245	11310	11210	11250	1.81	-0.125176446	5530047	-6971277	1644721
2012-07-31	11255	12020	11230	11755	4.49	-0.304302987	14320447	-15549983	1666708
2012-08-01	11585	11870	11575	11775	0.17	-0.162199331	4182189	-2716815	-1141331
2012-08-02	11795	11820	11550	11605	-1.44	-0.215390304	-1056019	860374	202103
2012-08-03	11280	11535	11235	11280	-2.8	-0.477145035	-1491320	2110914	-660543
2012-08-06	11740	11935	11730	11790	4.52	-0.340987664	3301045	-3878140	641054
2012-08-07	11795	11885	11730	11825	0.3	-0.154096215	1692411	-1667665	-17228
2012-08-08	11905	12295	11905	12045	1.86	-0.207207782	8153657	-8430211	461172
2012-08-09	12095	12675	12070	12570	4.36	-0.369591563	11448978	-10252651	-527111
2012-08-10	12530	12665	12490	12590	0.16	-0.380989306	89612	-292318	198167
2012-08-13	12590	12615	12425	12425	-1.31	-0.354073854	383188	-134331	-299802
2012-08-14	12520	12780	12510	12730	2.45	-0.034081075	1741227	-2099167	-17411
2012-08-16	12695	12795	12635	12740	0.08	-0.096374847	-790051	977895	-150541
2012-08-17	12845	12855	12520	12570	-1.33	-0.350714748	-2374783	3454024	-1205686
2012-08-20	12570	12630	12445	12545	-0.2	-0.085777296	288184	-182216	-115192
